            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2461417.833333333, A.D. 2027-Jan-12 08:00:00.0000, -3.595416663564208E-01,  9.198010308517789E-01,  7.474676591881546E-05, -1.648446309729116E-02, -6.387528404673806E-03, -2.500654856592633E-05,  5.703756847032808E-03,  9.875748841426792E-01,  5.224338067604946E-05,
2461418.833333333, A.D. 2027-Jan-13 08:00:00.0000, -3.759715983989965E-01,  9.132688715057106E-01,  4.972257472385932E-05, -1.637454005878120E-02, -6.676480170976281E-03, -2.503643527189295E-05,  5.704080023502064E-03,  9.876308404137373E-01,  5.967740200365723E-05,
2461419.833333333, A.D. 2027-Jan-14 08:00:00.0000, -3.922890287996696E-01,  9.064487054114877E-01,  2.468486622703950E-05, -1.625946405145006E-02, -6.963527267540902E-03, -2.503340699379273E-05,  5.704446266567562E-03,  9.876942534347826E-01,  6.715485749712130E-05,
2461420.833333333, A.D. 2027-Jan-15 08:00:00.0000, -4.084888175312911E-01,  8.993424809757852E-01, -3.328962689495135E-07, -1.613926114410068E-02, -7.248582369650074E-03, -2.499634144663482E-05,  5.704855791149859E-03,  9.877651604181550E-01,  7.466314867183195E-05,
2461421.833333333, A.D. 2027-Jan-16 08:00:00.0000, -4.245658515719362E-01,  8.919522334319494E-01, -2.529609013880468E-05, -1.601395980901887E-02, -7.531559222866971E-03, -2.492409967523497E-05,  5.705308737441790E-03,  9.878435856374926E-01,  8.218916937496910E-05,
2461422.833333333, A.D. 2027-Jan-17 08:00:00.0000, -4.405150468925161E-01,  8.842800840853505E-01, -5.016886872818988E-05, -1.588358820680918E-02, -7.812371492630966E-03, -2.481522564370603E-05,  5.705805168908769E-03,  9.879295400814907E-01,  8.971928127459828E-05,
2461423.833333333, A.D. 2027-Jan-18 08:00:00.0000, -4.563313508274804E-01,  8.763282402758121E-01, -7.491416990369771E-05, -1.574818016275149E-02, -8.090933027126592E-03, -2.466868085493767E-05,  5.706345075627072E-03,  9.880230220319096E-01,  9.724173504356476E-05,
2461424.833333333, A.D. 2027-Jan-19 08:00:00.0000, -4.720097448096981E-01,  8.680989967038500E-01, -9.949388535032969E-05, -1.560777463991404E-02, -8.367156010771731E-03, -2.448396380773430E-05,  5.706928386192084E-03,  9.881240191254236E-01,  1.047484127689490E-04,
2461425.833333333, A.D. 2027-Jan-20 08:00:00.0000, -4.875452467775439E-01,  8.595947385629332E-01, -1.238692232171337E-04, -1.546240487460367E-02, -8.640946935126967E-03, -2.426016334322992E-05,  5.707554988164987E-03,  9.882325118938550E-01,  1.122331865011530E-04,
2461426.833333333, A.D. 2027-Jan-21 08:00:00.0000, -5.029329117913001E-01,  8.508179458080173E-01, -1.480011125883867E-04, -1.531210720262639E-02, -8.912208988076454E-03, -2.399711802231527E-05,  5.708224748479237E-03,  9.883484772974456E-01,  1.196934801317391E-04,
2461427.833333333, A.D. 2027-Jan-22 08:00:00.0000, -5.181678306171069E-01,  8.417711962264801E-01, -1.718504068160205E-04, -1.515691777102727E-02, -9.180844201156804E-03, -2.369490278022435E-05,  5.708937519915269E-03,  9.884718898459179E-01,  1.271265960599484E-04,
2461428.833333333, A.D. 2027-Jan-23 08:00:00.0000, -5.332451274169229E-01,  8.324571652217719E-01, -1.953776844652647E-04, -1.499686855277083E-02, -9.446756101374696E-03, -2.335296486499030E-05,  5.709693126096476E-03,  9.886027190006097E-01,  1.345250601454061E-04,
